# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_fld            15:(.)w_fld              16:(.)rho_ur             17:(.)rho_crit           18:(.)rho_tot            19:(.)p_tot              20:(.)p_tot_prime        21:gr.fac. D             22:gr.fac. f          
       1.000000000000e+14       7.558403069291e-26       4.634785000235e-09       2.157574652335e+22       1.381093236026e+04       1.381093236026e-10       1.381093236026e+18       2.675922562239e-09       2.751560535470e+44       2.725992637331e+33       1.362996318666e+34       6.331470950076e+43       2.110490316692e+43       4.795020018804e-06      -9.500000000000e-01       1.270420749756e+44       4.655128380397e+44       4.655128380397e+44       1.551709460078e+44      -1.339171599541e+53       5.429021421582e-06       2.000000000000e+00 
       9.893085837570e+13       7.722652529658e-26       4.685716703534e-09       2.111686219519e+22       1.381093236026e+04       1.396018652523e-10       1.366327393369e+18       2.704841146124e-09       2.635761930281e+44       2.639489935082e+33       1.319744967541e+34       6.065012881878e+43       2.021670960626e+43       4.787295011982e-06      -9.500000000000e-01       1.216955471080e+44       4.459218689707e+44       4.459218689707e+44       1.486406229850e+44      -1.269097874502e+53       5.545734307963e-06       1.957908951181e+00 
       9.787314738953e+13       7.890471230181e-26       4.734829417430e-09       2.066773766035e+22       1.381093236026e+04       1.411105367368e-10       1.351719418482e+18       2.734072250924e-09       2.524836674885e+44       2.555732184302e+33       1.277866092151e+34       5.809768622077e+43       1.936589540692e+43       4.779582450495e-06      -9.500000000000e-01       1.165740262724e+44       4.271553799969e+44       4.271553799969e+44       1.423851266605e+44      -1.202690839334e+53       5.662447194330e-06       1.917553041712e+00 
       9.682674483178e+13       8.061936739655e-26       4.787580110133e-09       2.022816534240e+22       1.381093236026e+04       1.426355123706e-10       1.337267623536e+18       2.763619254608e-09       2.418579675807e+44       2.474632280678e+33       1.237316140339e+34       5.565266240889e+43       1.855088746963e+43       4.771882314317e-06      -9.500000000000e-01       1.116680431150e+44       4.091786731194e+44       4.091786731194e+44       1.363928910348e+44      -1.139758630190e+53       5.779160080690e-06       1.878827146122e+00 
       9.579152979933e+13       8.237128319290e-26       4.838511813432e-09       1.979794207977e+22       1.381093236026e+04       1.441769683519e-10       1.322970338744e+18       2.793485571666e-09       2.316794470871e+44       2.396105883937e+33       1.198052941968e+34       5.331053669553e+43       1.777017889851e+43       4.764194583426e-06      -9.500000000000e-01       1.069685267968e+44       3.919585105938e+44       3.919585105938e+44       1.306528368598e+44      -1.080119422720e+53       5.895872967052e-06       1.841634462244e+00 
       9.476738268169e+13       8.416126935135e-26       4.891262506135e-09       1.937686903183e+22       1.381093236026e+04       1.457350827831e-10       1.308825912175e+18       2.823674652719e-09       2.219292865953e+44       2.320071330139e+33       1.160035665069e+34       5.106697864488e+43       1.702232621496e+43       4.756519237838e-06      -9.500000000000e-01       1.024667882225e+44       3.754630534766e+44       3.754630534766e+44       1.251543511542e+44      -1.023600906748e+53       6.012585853411e-06       1.805885704713e+00 
       9.375418514718e+13       8.599015316366e-26       4.944013198838e-09       1.896475158700e+22       1.381093236026e+04       1.473100356915e-10       1.294832709559e+18       2.854189985865e-09       2.125894587024e+44       2.246449546749e+33       1.123224773374e+34       4.891784006623e+43       1.630594668874e+43       4.748856257599e-06      -9.500000000000e-01       9.815450397454e+43       3.596618027566e+44       3.596618027566e+44       1.198872675811e+44      -9.700397884317e+52       6.129298739769e-06       1.771498388655e+00 
       9.275182012925e+13       8.785877991939e-26       4.996763891540e-09       1.856139927281e+22       1.381093236026e+04       1.489020090496e-10       1.280989114096e+18       2.885035096956e-09       2.036426946831e+44       2.175163970405e+33       1.087581985203e+34       4.685914734423e+43       1.561971578141e+43       4.741205622788e-06      -9.500000000000e-01       9.402370092415e+43       3.445255429646e+44       3.445255429646e+44       1.148418476505e+44      -9.192813184679e+52       6.246011626128e-06       1.738396194400e+00 
       9.176017181296e+13       8.976801333416e-26       5.051333573647e-09       1.816662566784e+22       1.381093236026e+04       1.505111867969e-10       1.267293526274e+18       2.916213549966e-09       1.950724525616e+44       2.106140467297e+33       1.053070233648e+34       4.488709409196e+43       1.496236469732e+43       4.733567313516e-06      -9.500000000000e-01       9.006674148919e+43       3.300262881553e+44       3.300262881553e+44       1.100087627142e+44      -8.711788449940e+52       6.362724512485e-06       1.706508402067e+00 
       9.077912562158e+13       9.171873579873e-26       5.105903255753e-09       1.778024831559e+22       1.381093236026e+04       1.521377548604e-10       1.253744363683e+18       2.947728947260e-09       1.868628865258e+44       2.039307256068e+33       1.019653628034e+34       4.299803411315e+43       1.433267803772e+43       4.725941309926e-06      -9.500000000000e-01       8.627630951290e+43       3.161372301641e+44       3.161372301641e+44       1.053790767173e+44      -8.255933898776e+52       6.479437398839e-06       1.675769387306e+00 
       8.980856820338e+13       9.371184883481e-26       5.160472937860e-09       1.740208864015e+22       1.381093236026e+04       1.537819011765e-10       1.240340060828e+18       2.979584930109e-09       1.789988176302e+44       1.974594833169e+33       9.872974165846e+33       4.118847466063e+43       1.372949155354e+43       4.718327592193e-06      -9.500000000000e-01       8.264539673681e+43       3.028326890395e+44       3.028326890395e+44       1.009442296759e+44      -7.823932471802e+52       6.596150285188e-06       1.646118170433e+00 
       8.884838741853e+13       9.574827360657e-26       5.216861609370e-09       1.703197186363e+22       1.381093236026e+04       1.554438157127e-10       1.227079068955e+18       3.011785179200e-09       1.714657057307e+44       1.911935900574e+33       9.559679502871e+33       3.945506997842e+43       1.315168999281e+43       4.710726140524e-06      -9.500000000000e-01       7.916728984292e+43       2.900880655635e+44       2.900880655635e+44       9.669602185068e+43      -7.414536026311e+52       6.712863171533e-06       1.617498012609e+00 
       8.789847232612e+13       9.782895134603e-26       5.273250280879e-09       1.666972692544e+22       1.381093236026e+04       1.571236904894e-10       1.213959855866e+18       3.044333415047e-09       1.642496226007e+44       1.851265295796e+33       9.256326478981e+33       3.779461511573e+43       1.259820503858e+43       4.703136935158e-06      -9.500000000000e-01       7.583555804120e+43       2.778797957687e+44       2.778797957687e+44       9.262659858586e+43      -7.026561730128e+52       6.829576057874e-06       1.589856053482e+00 
       8.695871317136e+13       9.995484368078e-26       5.329638952389e-09       1.631518640317e+22       1.381093236026e+04       1.588217196020e-10       1.200980905745e+18       3.077233398309e-09       1.573372261788e+44       1.792519924120e+33       8.962599620599e+33       3.620404000112e+43       1.206801333371e+43       4.695559956365e-06      -9.500000000000e-01       7.264404117952e+43       2.661853073702e+44       2.661853073702e+44       8.872843578648e+43      -6.658888644157e+52       6.946288944209e-06       1.563142985411e+00 
       8.602900137289e+13       1.021269331270e-25       5.387846613303e-09       1.596818643526e+22       1.381093236026e+04       1.605380992439e-10       1.188140718981e+18       3.110488930280e-09       1.507157359005e+44       1.735638692986e+33       8.678193464932e+33       3.468040376624e+43       1.156013458875e+43       4.687995184447e-06      -9.500000000000e-01       6.958683835392e+43       2.549829780311e+44       2.549829780311e+44       8.499432600688e+43      -6.310454483757e+52       7.063001830540e-06       1.537312759906e+00 
       8.510922951025e+13       1.043462235775e-25       5.446054274216e-09       1.562856664522e+22       1.381093236026e+04       1.622730277284e-10       1.175437812000e+18       3.144103853354e-09       1.443729090674e+44       1.680562448460e+33       8.402812242298e+33       3.322088930826e+43       1.107362976942e+43       4.680442599739e-06      -9.500000000000e-01       6.665829699820e+43       2.442520953840e+44       2.442520953840e+44       8.141736512462e+43      -5.980252549577e+52       7.179714716866e-06       1.512322322709e+00 
       8.419929131143e+13       1.066137407797e-25       5.504261935130e-09       1.529617006755e+22       1.381093236026e+04       1.640267055120e-10       1.162870717084e+18       3.178082051488e-09       1.382970182115e+44       1.627233913709e+33       8.136169568543e+33       3.182279808132e+43       1.060759936044e+43       4.672902182607e-06      -9.500000000000e-01       6.385300243276e+43       2.339728187353e+44       2.339728187353e+44       7.799093957518e+43      -5.667328818991e+52       7.296427603184e-06       1.488131374309e+00 
       8.329908164066e+13       1.089305326684e-25       5.564288585447e-09       1.497084307517e+22       1.381093236026e+04       1.657993352176e-10       1.150437982211e+18       3.212427450516e-09       1.324768294116e+44       1.575597629443e+33       7.877988147214e+33       3.048354510705e+43       1.016118170235e+43       4.665373913447e-06      -9.500000000000e-01       6.116576785314e+43       2.241261423813e+44       2.241261423813e+44       7.470871412394e+43      -5.370779189724e+52       7.413140489497e-06       1.464702153154e+00 
       8.240849648618e+13       1.112976700549e-25       5.624315235764e-09       1.465243530842e+22       1.381093236026e+04       1.675911216579e-10       1.138138170881e+18       3.247144018800e-09       1.269015815230e+44       1.525599896236e+33       7.627999481180e+33       2.920065419511e+43       9.733551398371e+42       4.657857772690e-06      -9.500000000000e-01       5.859162474003e+43       2.146938604673e+44       2.146938604673e+44       7.156462015272e+43      -5.089746867716e+52       7.529853375808e-06       1.441999238858e+00 
       8.152743294829e+13       1.137162469937e-25       5.684341886081e-09       1.434079960557e+22       1.381093236026e+04       1.694022718588e-10       1.125969861954e+18       3.282235767558e-09       1.215609662805e+44       1.477188718682e+33       7.385943593412e+33       2.797175336491e+43       9.323917788304e+42       4.650353740796e-06      -9.500000000000e-01       5.612581367276e+43       2.056585333270e+44       2.056585333270e+44       6.855284443937e+43      -4.823419891659e+52       7.646566262118e-06       1.419989373603e+00 
