# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.305275193263e-10       5.712358470689e-15       6.045229284037e-13       0.000000000000e+00       1.816068318959e-08      -1.441282317613e-09      -2.645221921653e-12 
    3       2.084080962911e-10       7.276672252203e-15       6.026960738295e-13       0.000000000000e+00       1.067027315068e-08      -9.976545082340e-10      -1.943793678062e-12 
    4       1.878845987551e-10       6.274223766204e-15       5.198254281013e-13       0.000000000000e+00       7.128978026613e-09      -7.300487265187e-10      -1.276785005424e-12 
    5       1.720756899275e-10       4.172219245503e-15       4.150133449871e-13       0.000000000000e+00       5.147544184839e-09      -5.585330228842e-10      -7.382916514453e-13 
    6       1.604588040647e-10       2.311501393374e-15       3.155077372960e-13       0.000000000000e+00       3.908641778310e-09      -4.409239213870e-10      -3.454857506822e-13 
    7       1.520095652292e-10       1.220867523846e-15       2.348973383710e-13       0.000000000000e+00       3.076158189616e-09      -3.566223723268e-10      -9.370082356714e-14 
    8       1.458674494451e-10       7.635104118381e-16       1.776546697463e-13       0.000000000000e+00       2.486906199477e-09      -2.940816636892e-10       3.857105002570e-14 
    9       1.414808801836e-10       6.029298239450e-16       1.426658826099e-13       0.000000000000e+00       2.053122358488e-09      -2.463267137232e-10       8.175154036440e-14 
   10       1.384397054340e-10       5.138370045971e-16       1.256976629815e-13       0.000000000000e+00       1.723685221829e-09      -2.089939474579e-10       6.860607532306e-14 
   11       1.363406363571e-10       4.348299456430e-16       1.214870441412e-13       0.000000000000e+00       1.445017973323e-09      -1.772871479642e-10       2.933520613918e-14 
   12       1.350488769527e-10       3.818133343705e-16       1.250588764515e-13       0.000000000000e+00       1.245517696598e-09      -1.534727366216e-10      -1.383524064888e-14 
   13       1.343851079361e-10       3.663988807668e-16       1.323730539984e-13       0.000000000000e+00       1.083992186368e-09      -1.340857205585e-10      -4.684841648342e-14 
   14       1.341728144514e-10       3.768215081204e-16       1.407892302072e-13       0.000000000000e+00       9.513449732372e-10      -1.178157092078e-10      -6.326215217926e-14 
   15       1.343590566813e-10       3.978990982986e-16       1.490220665140e-13       0.000000000000e+00       8.410706536522e-10      -1.041337850560e-10      -6.374866902019e-14 
   16       1.349154520638e-10       4.278566028443e-16       1.567266590915e-13       0.000000000000e+00       7.484023369635e-10      -9.263381905031e-11      -5.321228558875e-14 
   17       1.356950524295e-10       4.756724836959e-16       1.642925576692e-13       0.000000000000e+00       6.697815085433e-10      -8.283494206509e-11      -3.779749437342e-14 
   18       1.367136768169e-10       5.498826079075e-16       1.723310397345e-13       0.000000000000e+00       6.022513039680e-10      -7.433324999561e-11      -2.329127955923e-14 
   19       1.379638132363e-10       6.513857057179e-16       1.812923416982e-13       0.000000000000e+00       5.445200016488e-10      -6.699158643884e-11      -1.282341601590e-14 
