# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.305281585959e-10       5.712642791638e-15       6.045229223263e-13       2.843208743747e-19       1.816068318959e-08      -1.441282317613e-09      -2.645221921653e-12 
    3       2.084093729691e-10       7.277241066773e-15       6.026960467383e-13       5.688138347871e-19       1.067027315068e-08      -9.976545082340e-10      -1.943793678062e-12 
    4       1.878867224369e-10       6.275172170831e-15       5.198253502311e-13       9.484010050223e-19       7.128978026613e-09      -7.300487265187e-10      -1.276785005424e-12 
    5       1.720788677861e-10       4.173642557501e-15       4.150131675143e-13       1.423299556323e-18       5.147544184839e-09      -5.585330228842e-10      -7.382916514453e-13 
    6       1.604632402958e-10       2.313495198191e-15       3.155073881470e-13       1.993770748967e-18       3.908641778310e-09      -4.409239213870e-10      -3.454857506822e-13 
    7       1.520154605292e-10       1.223527717158e-15       2.348967183774e-13       2.660113669027e-18       3.076158189616e-09      -3.566223723268e-10      -9.370082356714e-14 
    8       1.458750005283e-10       7.669332356374e-16       1.776536491959e-13       3.422658224004e-18       2.486906199477e-09      -2.940816636892e-10       3.857105002570e-14 
    9       1.414902793430e-10       6.072118958298e-16       1.426642982263e-13       4.281757642411e-18       2.053122358488e-09      -2.463267137232e-10       8.175154036440e-14 
   10       1.384511401515e-10       5.190753396046e-16       1.256953153542e-13       5.237780736850e-18       1.723685221829e-09      -2.089939474579e-10       6.860607532306e-14 
   11       1.363542889665e-10       4.411219700749e-16       1.214836956146e-13       6.291104194578e-18       1.445017973323e-09      -1.772871479642e-10       2.933520613918e-14 
   12       1.350649243596e-10       3.892568911997e-16       1.250542494695e-13       7.442105153612e-18       1.245517696598e-09      -1.534727366216e-10      -1.383524064888e-14 
   13       1.344037213970e-10       3.750922263628e-16       1.323668298924e-13       8.691154306593e-18       1.083992186368e-09      -1.340857205585e-10      -4.684841648342e-14 
   14       1.341941594134e-10       3.868633001847e-16       1.407810484036e-13       1.003860974943e-17       9.513449732372e-10      -1.178157092078e-10      -6.326215217926e-14 
   15       1.343832926843e-10       4.093883750666e-16       1.490115241330e-13       1.148481175829e-17       8.410706536522e-10      -1.041337850560e-10      -6.374866902019e-14 
   16       1.349427327040e-10       4.408927537743e-16       1.567133109033e-13       1.303007863819e-17       7.484023369635e-10      -9.263381905031e-11      -5.321228558875e-14 
   17       1.357255253837e-10       4.903552120289e-16       1.642759163698e-13       1.467470374090e-17       6.697815085433e-10      -8.283494206509e-11      -3.779749437342e-14 
   18       1.367474839245e-10       5.663118855612e-16       1.723105765225e-13       1.641895315133e-17       6.022513039680e-10      -7.433324999561e-11      -2.329127955923e-14 
   19       1.380010906381e-10       6.696617216392e-16       1.812674870244e-13       1.826306788719e-17       5.445200016488e-10      -6.699158643884e-11      -1.282341601590e-14 
   20       1.393773749684e-10       7.977880202962e-16       1.914581007989e-13       2.020725848476e-17       4.941498721792e-10      -6.055454033006e-11      -8.434970383365e-15 
   21       1.408897637927e-10       9.490333090632e-16       2.027067528250e-13       2.225171486492e-17       4.502154957354e-10      -5.492611997241e-11      -9.404379723231e-15 
   22       1.425458607952e-10       1.121546792797e-15       2.145393183737e-13       2.439660016015e-17       4.115402826519e-10      -4.996563018539e-11      -1.354961134737e-14 
   23       1.443214995588e-10       1.314866253414e-15       2.263764865512e-13       2.664206331540e-17       3.775050867984e-10      -4.557621417482e-11      -1.868741377374e-14 
   24       1.461593272686e-10       1.528702032063e-15       2.375447243688e-13       2.898823284120e-17       3.472354804706e-10      -4.162931468518e-11      -2.250754356716e-14 
   25       1.480745616366e-10       1.762740133362e-15       2.476193578495e-13       3.143523237387e-17       3.203176105065e-10      -3.811554192120e-11      -2.410695451629e-14 
   26       1.500841944779e-10       2.017066326134e-15       2.562877599198e-13       3.398317318993e-17       2.962082437271e-10      -3.501954543421e-11      -2.320106231441e-14 
   27       1.521838470366e-10       2.294528644857e-15       2.635473685760e-13       3.663216812990e-17       2.745772340471e-10      -3.226855403375e-11      -2.042080281126e-14 
   28       1.543505066994e-10       2.598829453864e-15       2.695287462030e-13       3.938232649341e-17       2.550106462830e-10      -2.975666480001e-11      -1.680644884939e-14 
   29       1.565871083879e-10       2.931894835581e-15       2.743614434779e-13       4.223377209000e-17       2.373838381354e-10      -2.746984214560e-11      -1.317397966869e-14 
   30       1.588889018024e-10       3.295102760675e-15       2.782219328539e-13       4.518663048326e-17       2.214820108049e-10      -2.540371559441e-11      -1.042392605205e-14 
   31       1.612380314214e-10       3.689713545017e-15       2.812888133154e-13       4.824102844292e-17       2.069493853107e-10      -2.353585746535e-11      -9.388265364445e-15 
   32       1.636367291067e-10       4.116597300715e-15       2.835094336943e-13       5.139710990468e-17       1.936953593318e-10      -2.185158994158e-11      -9.822800739601e-15 
   33       1.660833499521e-10       4.576380702721e-15       2.847442278251e-13       5.465502781469e-17       1.816126806011e-10      -2.032416949248e-11      -1.101969493964e-14 
   34       1.685676542523e-10       5.069625370140e-15       2.848229376284e-13       5.801494056184e-17       1.705156813141e-10      -1.891703135679e-11      -1.219850836988e-14 
   35       1.710899791873e-10       5.597257926380e-15       2.835394979570e-13       6.147700976188e-17       1.603374081473e-10      -1.762165026945e-11      -1.302066048543e-14 
   36       1.736466916318e-10       6.160279409087e-15       2.806508729505e-13       6.504140360330e-17       1.509858669891e-10      -1.643096796438e-11      -1.324444945565e-14 
   37       1.762297011119e-10       6.759646826055e-15       2.759348034273e-13       6.870829033455e-17       1.423272765615e-10      -1.533271869194e-11      -1.268005091440e-14 
   38       1.788458282212e-10       7.396266860965e-15       2.693925324747e-13       7.247781013691e-17       1.343332410104e-10      -1.432374372255e-11      -1.150856642443e-14 
   39       1.815025365395e-10       8.070994243337e-15       2.611140869691e-13       7.635009504769e-17       1.269731842415e-10      -1.339931868841e-11      -1.007290247414e-14 
   40       1.842019824330e-10       8.784628965083e-15       2.512270047662e-13       8.032527700121e-17       1.201697778187e-10      -1.254865993585e-11      -8.799259133299e-15 
   41       1.869422628811e-10       9.537924521702e-15       2.398564945595e-13       8.440347358031e-17       1.138246616909e-10      -1.175831444961e-11      -8.086448524081e-15 
   42       1.897230872021e-10       1.033162427737e-14       2.269847012125e-13       8.858473874881e-17       1.079153869364e-10      -1.102489886012e-11      -7.917625813936e-15 
   43       1.925409436296e-10       1.116643104605e-14       2.125495588228e-13       9.286909674152e-17       1.024232321714e-10      -1.034563778594e-11      -8.131189307535e-15 
   44       1.953869486027e-10       1.204299372728e-14       1.964824599339e-13       9.725655471821e-17       9.730420998649e-11      -9.714571590835e-12      -8.523347607338e-15 
   45       1.982510452634e-10       1.296189526053e-14       1.787126494864e-13       1.017470901151e-16       9.250402731477e-11      -9.124535730732e-12      -8.892696424180e-15 
   46       2.011372083084e-10       1.392361857700e-14       1.591833132784e-13       1.063406096593e-16       8.801299640949e-11      -8.574388762704e-12      -9.196019379084e-15 
   47       2.040519816797e-10       1.492856586109e-14       1.378393319479e-13       1.110369770408e-16       8.382414998536e-11      -8.063523435651e-12      -9.434605574475e-15 
   48       2.070000047033e-10       1.597706384134e-14       1.146224603446e-13       1.158360225919e-16       7.991672286668e-11      -7.589710401528e-12      -9.611188469087e-15 
   49       2.099838089470e-10       1.706936054403e-14       8.947104463830e-14       1.207375419714e-16       7.625513538930e-11      -7.148978528006e-12      -9.730042216250e-15 
   50       2.130043202597e-10       1.820564276910e-14       6.232861096961e-14       1.257412984070e-16       7.279934630135e-11      -6.736749174494e-12      -9.800113695483e-15 
   51       2.160629968316e-10       1.938610164220e-14       3.317303607622e-14       1.308470331938e-16       6.954158290104e-11      -6.351879663112e-12      -9.845197352546e-15 
   52       2.191599203425e-10       2.061087924426e-14       1.994805708477e-15       1.360544557707e-16       6.647782362762e-11      -5.993510475314e-12      -9.896688731333e-15 
   53       2.222929755779e-10       2.188004722684e-14      -3.121103346984e-14       1.413632392900e-16       6.359682980795e-11      -5.659847977814e-12      -9.991023687677e-15 
   54       2.254576804715e-10       2.319360454080e-14      -6.644473928847e-14       1.467730194685e-16       6.087966409374e-11      -5.348103745291e-12      -1.016991758379e-14 
   55       2.286491273485e-10       2.455150275764e-14      -1.037048574758e-13       1.522834231946e-16       5.830525710568e-11      -5.055214798988e-12      -1.046725647428e-14 
   56       2.318687607354e-10       2.595373460306e-14      -1.429983481150e-13       1.578941653023e-16       5.586982996964e-11      -4.780352852612e-12      -1.086540921836e-14 
   57       2.351189856097e-10       2.740026343865e-14      -1.843327390663e-13       1.636049738266e-16       5.357145326044e-11      -4.522932135942e-12      -1.132848132626e-14 
   58       2.384011179266e-10       2.889099642600e-14      -2.277132155462e-13       1.694155623643e-16       5.140418096389e-11      -4.281853499558e-12      -1.181443734822e-14 
   59       2.417152969158e-10       3.042578333050e-14      -2.731426070139e-13       1.753256300851e-16       4.935780455854e-11      -4.055474162844e-12      -1.227482001660e-14 
   60       2.450603973786e-10       3.200441532499e-14      -3.206213740597e-13       1.813348617423e-16       4.741760709724e-11      -3.841577461991e-12      -1.265446938807e-14 
   61       2.484350352815e-10       3.362654922165e-14      -3.701466380249e-13       1.874429680419e-16       4.556833874516e-11      -3.637945435097e-12      -1.290427681173e-14 
   62       2.518410467065e-10       3.529146300001e-14      -4.217090450038e-13       1.936498173135e-16       4.380774249752e-11      -3.444295202674e-12      -1.302342751972e-14 
   63       2.552806377117e-10       3.699824303206e-14      -4.752951714611e-13       1.999553335478e-16       4.213564188467e-11      -3.260725523871e-12      -1.302618460380e-14 
   64       2.587553079799e-10       3.874585032014e-14      -5.308883767602e-13       2.063594599124e-16       4.054987766061e-11      -3.087141408859e-12      -1.292982098012e-14 
   65       2.622657978044e-10       4.053311693455e-14      -5.884687596768e-13       2.128621600432e-16       3.904619582827e-11      -2.923242994399e-12      -1.275475211661e-14 
   66       2.658120350766e-10       4.235874245120e-14      -6.480131149127e-13       2.194634193353e-16       3.761813566482e-11      -2.768514419414e-12      -1.252466876027e-14 
   67       2.693930822719e-10       4.422129038924e-14      -7.094948896103e-13       2.261632462347e-16       3.625691774686e-11      -2.622212700552e-12      -1.226666966454e-14 
   68       2.730078758686e-10       4.611933251772e-14      -7.728855863569e-13       2.329616719589e-16       3.495373236349e-11      -2.483558111616e-12      -1.200606908666e-14 
   69       2.766577370832e-10       4.805192369306e-14      -8.381593995221e-13       2.398587467065e-16       3.370739350188e-11      -2.352374983398e-12      -1.174930082980e-14 
   70       2.803442769784e-10       5.001821727866e-14      -9.052894445605e-13       2.468545449959e-16       3.251804173025e-11      -2.228561358932e-12      -1.149777263075e-14 
   71       2.840686168848e-10       5.201732600432e-14      -9.742463882681e-13       2.539491683966e-16       3.138483135604e-11      -2.111893114237e-12      -1.125288148301e-14 
   72       2.878313556543e-10       5.404832218577e-14      -1.044998442290e-12       2.611427467805e-16       3.030587984224e-11      -2.002017987442e-12      -1.101601016900e-14 
   73       2.916325369140e-10       5.611023794405e-14      -1.117511356632e-12       2.684354395728e-16       2.927821722360e-11      -1.898449607900e-12      -1.078852379225e-14 
   74       2.954716163193e-10       5.820206542497e-14      -1.191748413163e-12       2.758274370034e-16       2.829773552287e-11      -1.800561525307e-12      -1.057176630960e-14 
   75       2.993474288076e-10       6.032275701861e-14      -1.267670419131e-12       2.833189613582e-16       2.735913816713e-11      -1.707581238824e-12      -1.036705706338e-14 
   76       3.032587473322e-10       6.247115282653e-14      -1.345236085196e-12       2.909102267302e-16       2.645722765455e-11      -1.618766089016e-12      -1.017548997583e-14 
