#scalar perturbations for mode k = 7.010000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_rho_fld       23:rho_plus_p_theta_fld    24:delta_p_fld        
       1.000463299928e+00       2.162667038814e-06      -1.214225811264e+00       1.486873522391e-03       4.990331479665e-09       1.247582869916e-08       1.651154460064e-15       2.495165739832e-09      -9.106693584478e-01       1.486873522391e-03       5.987740812976e-01       6.966898342149e-01      -1.214225811264e+00       1.486549527795e-03       1.970296246402e-04      -9.106693584478e-01       1.487543377377e-03      -1.214233286215e+00       1.486558711229e-03       1.970308333395e-04       3.333333189741e-01      -1.225555607455e-08       2.003745799368e-11       1.163258774719e-08 
       1.000463364302e+00       2.162667178233e-06      -1.214225809831e+00       1.486873615779e-03       4.990332436498e-09       1.247583109124e-08       1.651154989539e-15       2.495166218249e-09      -9.106693573729e-01       1.486873615779e-03       5.987740816316e-01       6.966898346051e-01      -1.214225809830e+00       1.486549621120e-03       1.970296501563e-04      -9.106693573730e-01       1.487543470894e-03      -1.214233284781e+00       1.486558804555e-03       1.970308588558e-04       3.333333189741e-01      -1.225555593958e-08       2.003745907273e-11       1.163258763440e-08 
       1.000463428676e+00       2.162667317651e-06      -1.214225808397e+00       1.486873709167e-03       4.990333393331e-09       1.247583348333e-08       1.651155519014e-15       2.495166696665e-09      -9.106693562980e-01       1.486873709167e-03       5.987740819656e-01       6.966898349953e-01      -1.214225808397e+00       1.486549714446e-03       1.970296756724e-04      -9.106693562981e-01       1.487543564412e-03      -1.214233283348e+00       1.486558897881e-03       1.970308843720e-04       3.333333189741e-01      -1.225555580462e-08       2.003746015178e-11       1.163258752161e-08 
       1.000464072418e+00       2.162668711840e-06      -1.214225794065e+00       1.486874643048e-03       4.990342961666e-09       1.247585740417e-08       1.651160813775e-15       2.495171480833e-09      -9.106693455489e-01       1.486874643048e-03       5.987740853058e-01       6.966898388974e-01      -1.214225794065e+00       1.486550647700e-03       1.970299308337e-04      -9.106693455494e-01       1.487544499585e-03      -1.214233269016e+00       1.486559831142e-03       1.970311395349e-04       3.333333189741e-01      -1.225555445497e-08       2.003747094230e-11       1.163258639374e-08 
       1.000464716160e+00       2.162670106029e-06      -1.214225779733e+00       1.486875576929e-03       4.990352530014e-09       1.247588132503e-08       1.651166108549e-15       2.495176265007e-09      -9.106693347998e-01       1.486875576929e-03       5.987740886459e-01       6.966898427995e-01      -1.214225779732e+00       1.486551580955e-03       1.970301859951e-04      -9.106693348008e-01       1.487545434757e-03      -1.214233254684e+00       1.486560764403e-03       1.970313946980e-04       3.333333189741e-01      -1.225555310532e-08       2.003748173281e-11       1.163258526586e-08 
       1.000465359902e+00       2.162671500217e-06      -1.214225765401e+00       1.486876510810e-03       4.990362098374e-09       1.247590524593e-08       1.651171403336e-15       2.495181049187e-09      -9.106693240508e-01       1.486876510810e-03       5.987740919861e-01       6.966898467015e-01      -1.214225765400e+00       1.486552514210e-03       1.970304411568e-04      -9.106693240522e-01       1.487546369930e-03      -1.214233240352e+00       1.486561697665e-03       1.970316498612e-04       3.333333189741e-01      -1.225555175568e-08       2.003749252333e-11       1.163258413799e-08 
       1.000468950411e+00       2.162679276386e-06      -1.214225685464e+00       1.486881719586e-03       4.990415466690e-09       1.247603866672e-08       1.651200935576e-15       2.495207733345e-09      -9.106692640981e-01       1.486881719586e-03       5.987741106159e-01       6.966898684653e-01      -1.214225685462e+00       1.486557719495e-03       1.970318643384e-04      -9.106692641019e-01       1.487551585912e-03      -1.214233160414e+00       1.486566902983e-03       1.970330730518e-04       3.333333189740e-01      -1.225554422799e-08       2.003755270807e-11       1.163257784723e-08 
       1.000472540921e+00       2.162687052555e-06      -1.214225605528e+00       1.486886928363e-03       4.990468835389e-09       1.247617208847e-08       1.651230468239e-15       2.495234417694e-09      -9.106692041464e-01       1.486886928363e-03       5.987741292455e-01       6.966898902288e-01      -1.214225605524e+00       1.486562924780e-03       1.970332875249e-04      -9.106692041526e-01       1.487556801895e-03      -1.214233080478e+00       1.486572108303e-03       1.970344962472e-04       3.333333189739e-01      -1.225553670035e-08       2.003761289279e-11       1.163257155650e-08 
       1.000476131430e+00       2.162694828724e-06      -1.214225525594e+00       1.486892137141e-03       4.990522204471e-09       1.247630551118e-08       1.651260001325e-15       2.495261102236e-09      -9.106691441957e-01       1.486892137141e-03       5.987741478750e-01       6.966899119919e-01      -1.214225525589e+00       1.486568130066e-03       1.970347107163e-04      -9.106691442043e-01       1.487562017878e-03      -1.214233000543e+00       1.486577313623e-03       1.970359194476e-04       3.333333189738e-01      -1.225552917277e-08       2.003767307750e-11       1.163256526581e-08 
       1.000479721939e+00       2.162702604893e-06      -1.214225445661e+00       1.486897345919e-03       4.990575573937e-09       1.247643893484e-08       1.651289534835e-15       2.495287786968e-09      -9.106690842460e-01       1.486897345919e-03       5.987741665042e-01       6.966899337547e-01      -1.214225445654e+00       1.486573335352e-03       1.970361339127e-04      -9.106690842570e-01       1.487567233862e-03      -1.214232920610e+00       1.486582518944e-03       1.970373426530e-04       3.333333189737e-01      -1.225552164524e-08       2.003773326220e-11       1.163255897515e-08 
