# Matter power spectrum P(k) at redshift z=0
# for k=1.03438e-05 to 1.68952 h/Mpc,
# number of wavenumbers equal to 608
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.034377253691e-05       4.274069590383e+01 
       2.298708182451e-05       1.001085138816e+02 
       3.567345449244e-05       1.550798475752e+02 
       4.843577427755e-05       2.094770618259e+02 
       6.130745099128e-05       2.628793688288e+02 
       7.432270757525e-05       3.163876693120e+02 
       8.751687603871e-05       3.707600877040e+02 
       1.009267060800e-04       4.256617417642e+02 
       1.145906902245e-04       4.813761184763e+02 
       1.285494093424e-04       5.381373146810e+02 
       1.428459024225e-04       5.962712062718e+02 
       1.575260644373e-04       6.557594613352e+02 
       1.726390760009e-04       7.169869270340e+02 
       1.882378682370e-04       7.803030839510e+02 
       2.043796257592e-04       8.457894601138e+02 
       2.211263298185e-04       9.137904624443e+02 
       2.385453423630e-04       9.846408050773e+02 
       2.567100297960e-04       1.058696157753e+03 
       2.757004224129e-04       1.136355586062e+03 
       2.956039015646e-04       1.218071633489e+03 
       3.165159012327e-04       1.304253958397e+03 
       3.385406035829e-04       1.395474422235e+03 
       3.617915988427e-04       1.492304773345e+03 
       3.863924682796e-04       1.595433786250e+03 
       4.124772350482e-04       1.705540299015e+03 
       4.401906114968e-04       1.823431517028e+03 
       4.696879539980e-04       1.949971559813e+03 
       5.011348192022e-04       2.086101695124e+03 
       5.347060016639e-04       2.232844508333e+03 
       5.705839263313e-04       2.391266552650e+03 
       6.089562760964e-04       2.562492643544e+03 
       6.500127610742e-04       2.747663549513e+03 
       6.939409888116e-04       2.947903800407e+03 
       7.409214770804e-04       3.164279229297e+03 
       7.911219617846e-04       3.397731084706e+03 
       8.446912819979e-04       3.649034225812e+03 
       9.017532524651e-04       3.918720300476e+03 
       9.624010327318e-04       4.207028661425e+03 
       1.026692540352e-03       4.513866258811e+03 
       1.094647409205e-03       4.838799557213e+03 
       1.166245856174e-03       5.181049659421e+03 
       1.241429607779e-03       5.539561583045e+03 
       1.320104792576e-03       5.913099414941e+03 
       1.402146476547e-03       6.300229940207e+03 
       1.487404353598e-03       6.699358517395e+03 
       1.575709029114e-03       7.108919299028e+03 
       1.666878353085e-03       7.527313731682e+03 
       1.760723350695e-03       7.952989216407e+03 
       1.857053430409e-03       8.384464848702e+03 
       1.955680690280e-03       8.820381588649e+03 
       2.056423267540e-03       9.259397339624e+03 
       2.159107771091e-03       9.700390562382e+03 
       2.263570897497e-03       1.014222303304e+04 
       2.369660362164e-03       1.058402966953e+04 
       2.477235285311e-03       1.102490668373e+04 
       2.586166164940e-03       1.146413714597e+04 
       2.696334552844e-03       1.190106981169e+04 
       2.807632530005e-03       1.233512869281e+04 
       2.919962057766e-03       1.276584619117e+04 
       3.033234262958e-03       1.319278440881e+04 
       3.147368699632e-03       1.361559519472e+04 
       3.262292617382e-03       1.403400667992e+04 
       3.377940256374e-03       1.444767414828e+04 
       3.494252181679e-03       1.485641736530e+04 
       3.611174664012e-03       1.526008481842e+04 
       3.728659110039e-03       1.565847828611e+04 
       3.846661542716e-03       1.605148722492e+04 
       3.965142130290e-03       1.643902381004e+04 
       4.084064761512e-03       1.682095986971e+04 
       4.203396663926e-03       1.719728799331e+04 
       4.323108061794e-03       1.756796734063e+04 
       4.443171870167e-03       1.793287805415e+04 
       4.563563421631e-03       1.829208391756e+04 
       4.684260222456e-03       1.864562037223e+04 
       4.805241735092e-03       1.899338449300e+04 
       4.926489184177e-03       1.933539010986e+04 
       5.047985383499e-03       1.967168169418e+04 
       5.169714581592e-03       2.000226899246e+04 
       5.291662323884e-03       2.032716187203e+04 
       5.413815329537e-03       2.064638048794e+04 
       5.536161381329e-03       2.096002672434e+04 
       5.658689227102e-03       2.126808358507e+04 
       5.781388491478e-03       2.157057107683e+04 
       5.904249596697e-03       2.186754327172e+04 
       6.027263691543e-03       2.215908104389e+04 
       6.150422587470e-03       2.244518188796e+04 
       6.273718701141e-03       2.272593006730e+04 
       6.397145002646e-03       2.300137112143e+04 
       6.520694968825e-03       2.327149980415e+04 
       6.644362541099e-03       2.353643009830e+04 
       6.768142087365e-03       2.379621310468e+04 
       6.892028367498e-03       2.405084487445e+04 
       7.016016502094e-03       2.430045115262e+04 
       7.140101944110e-03       2.454500188929e+04 
       7.264280453113e-03       2.478456130623e+04 
       7.388548071852e-03       2.501925976681e+04 
       7.512901104944e-03       2.524906737619e+04 
       7.637336099439e-03       2.547410927636e+04 
       7.761849827095e-03       2.569435176608e+04 
       7.886439268188e-03       2.590986162221e+04 
       8.011101596706e-03       2.612075458557e+04 
       8.135834166804e-03       2.632699712247e+04 
       8.260634500393e-03       2.652879336730e+04 
       8.385500275756e-03       2.672593883692e+04 
       8.510429317101e-03       2.691871048789e+04 
       8.635419584962e-03       2.710706230474e+04 
       8.760469167372e-03       2.729103121297e+04 
       8.885576271737e-03       2.747076678330e+04 
       9.010739217351e-03       2.764618404602e+04 
       9.135956428498e-03       2.781740666375e+04 
       9.261226428080e-03       2.798446839784e+04 
       9.386547831739e-03       2.814743790561e+04 
       9.511919342425e-03       2.830634902697e+04 
       9.637339745369e-03       2.846118651651e+04 
       9.762807903431e-03       2.861214184183e+04 
       9.888322752799e-03       2.875908923453e+04 
       1.001388329899e-02       2.890215138251e+04 
       1.013948861317e-02       2.904140752276e+04 
       1.026513782870e-02       2.917685434861e+04 
       1.039083013794e-02       2.930859263811e+04 
       1.051656478936e-02       2.943659028735e+04 
       1.064234108470e-02       2.956097008798e+04 
       1.076815837648e-02       2.968169592892e+04 
       1.089401606560e-02       2.979884657163e+04 
       1.101991359916e-02       2.991244461394e+04 
       1.114585046836e-02       3.002259364666e+04 
       1.127182620663e-02       3.012928103354e+04 
       1.139784038784e-02       3.023251784100e+04 
       1.152389262466e-02       3.033245468001e+04 
       1.164998256697e-02       3.042906785900e+04 
       1.177610990051e-02       3.052234077220e+04 
       1.190227434546e-02       3.061243154297e+04 
       1.202847565527e-02       3.069925403229e+04 
       1.215471361547e-02       3.078294871917e+04 
       1.228098804261e-02       3.086343214471e+04 
       1.240729878326e-02       3.094092197000e+04 
       1.253364571308e-02       3.101530258199e+04 
       1.266002873599e-02       3.108667060514e+04 
       1.278644778335e-02       3.115508830043e+04 
       1.291290281321e-02       3.122051700331e+04 
       1.303939380966e-02       3.128302407871e+04 
       1.316592078220e-02       3.134273603320e+04 
       1.329248376514e-02       3.139954797716e+04 
       1.341908281708e-02       3.145361631644e+04 
       1.354571802040e-02       3.150484613554e+04 
       1.367238948086e-02       3.155336831770e+04 
       1.379909732714e-02       3.159920357745e+04 
       1.392584171050e-02       3.164239573664e+04 
       1.405262280444e-02       3.168292729192e+04 
       1.417944080438e-02       3.172088202941e+04 
       1.430629592742e-02       3.175626545598e+04 
       1.443318841207e-02       3.178910719125e+04 
       1.456011851807e-02       3.181944547046e+04 
       1.468708652619e-02       3.184734791470e+04 
       1.481409273807e-02       3.187279082267e+04 
       1.494113747611e-02       3.189583104865e+04 
       1.506822108336e-02       3.191649268294e+04 
       1.519534392343e-02       3.193484565609e+04 
       1.532250638045e-02       3.195086127341e+04 
       1.544970885901e-02       3.196464294782e+04 
       1.557695178417e-02       3.197611675046e+04 
       1.570423560146e-02       3.198537602574e+04 
       1.583156077691e-02       3.199245852691e+04 
       1.595892779709e-02       3.199738119829e+04 
       1.608633716918e-02       3.200012531290e+04 
