# Matter power spectrum P(k) at redshift z=0
# for k=1.03438e-05 to 1.68952 h/Mpc,
# number of wavenumbers equal to 608
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.034377253691e-05       4.271705106473e+01 
       2.298708182451e-05       1.000969547269e+02 
       3.567345449244e-05       1.550716727852e+02 
       4.843577427755e-05       2.094700467277e+02 
       6.130745099128e-05       2.628728183600e+02 
       7.432270757525e-05       3.163814146687e+02 
       8.751687603871e-05       3.707538804714e+02 
       1.009267060800e-04       4.256555793538e+02 
       1.145906902245e-04       4.813700214540e+02 
       1.285494093424e-04       5.381313179539e+02 
       1.428459024225e-04       5.962653911232e+02 
       1.575260644373e-04       6.557539317420e+02 
       1.726390760009e-04       7.169818152159e+02 
       1.882378682370e-04       7.802985636906e+02 
       2.043796257592e-04       8.457857356284e+02 
       2.211263298185e-04       9.137877890183e+02 
       2.385453423630e-04       9.846394915279e+02 
       2.567100297960e-04       1.058696580876e+03 
       2.757004224129e-04       1.136358194297e+03 
       2.956039015646e-04       1.218076981509e+03 
       3.165159012327e-04       1.304262699502e+03 
       3.385406035829e-04       1.395487356923e+03 
       3.617915988427e-04       1.492322874419e+03 
       3.863924682796e-04       1.595458241145e+03 
       4.124772350482e-04       1.705572547291e+03 
       4.401906114968e-04       1.823473318595e+03 
       4.696879539980e-04       1.950025057691e+03 
       5.011348192022e-04       2.086169516750e+03 
       5.347060016639e-04       2.232929865232e+03 
       5.705839263313e-04       2.391373362318e+03 
       6.089562760964e-04       2.562625685406e+03 
       6.500127610742e-04       2.747828650318e+03 
       6.939409888116e-04       2.948108020191e+03 
       7.409214770804e-04       3.164531096203e+03 
       7.911219617846e-04       3.398040854786e+03 
       8.446912819979e-04       3.649414124928e+03 
       9.017532524651e-04       3.919184782316e+03 
       9.624010327318e-04       4.207594660835e+03 
       1.026692540352e-03       4.514553384190e+03 
       1.094647409205e-03       4.839630240760e+03 
       1.166245856174e-03       5.182049342802e+03 
       1.241429607779e-03       5.540758488837e+03 
       1.320104792576e-03       5.914524327838e+03 
       1.402146476547e-03       6.301916570396e+03 
       1.487404353598e-03       6.701342937555e+03 
       1.575709029114e-03       7.111239559388e+03 
       1.666878353085e-03       7.530009452108e+03 
       1.760723350695e-03       7.956101122012e+03 
       1.857053430409e-03       8.388034293633e+03 
       1.955680690280e-03       8.824450098824e+03 
       2.056423267540e-03       9.264006172781e+03 
       2.159107771091e-03       9.705580339735e+03 
       2.263570897497e-03       1.014803340358e+04 
       2.369660362164e-03       1.059049910865e+04 
       2.477235285311e-03       1.103207227078e+04 
       2.586166164940e-03       1.147203448768e+04 
       2.696334552844e-03       1.190973300395e+04 
       2.807632530005e-03       1.234459031214e+04 
       2.919962057766e-03       1.277613738013e+04 
       3.033234262958e-03       1.320393492443e+04 
       3.147368699632e-03       1.362763353151e+04 
       3.262292617382e-03       1.404696027157e+04 
       3.377940256374e-03       1.446156942715e+04 
       3.494252181679e-03       1.487127904737e+04 
       3.611174664012e-03       1.527593589176e+04 
       3.728659110039e-03       1.567534002866e+04 
       3.846661542716e-03       1.606937935837e+04 
       3.965142130290e-03       1.645796459241e+04 
       4.084064761512e-03       1.684096611517e+04 
       4.203396663926e-03       1.721837527256e+04 
       4.323108061794e-03       1.759014998277e+04 
       4.443171870167e-03       1.795616912444e+04 
       4.563563421631e-03       1.831649547563e+04 
       4.684260222456e-03       1.867116348134e+04 
       4.805241735092e-03       1.902006912941e+04 
       4.926489184177e-03       1.936322535447e+04 
       5.047985383499e-03       1.970067581222e+04 
       5.169714581592e-03       2.003242943277e+04 
       5.291662323884e-03       2.035849534944e+04 
       5.413815329537e-03       2.067889302160e+04 
       5.536161381329e-03       2.099372383403e+04 
       5.658689227102e-03       2.130297015756e+04 
       5.781388491478e-03       2.160665149020e+04 
       5.904249596697e-03       2.190482148636e+04 
       6.027263691543e-03       2.219756070683e+04 
       6.150422587470e-03       2.248486623392e+04 
       6.273718701141e-03       2.276682211011e+04 
       6.397145002646e-03       2.304347362344e+04 
